Año,Trimestre,Provincia,Accesos TV por suscripción por cada 100 hab,Accesos TV por suscripción por cada 100 hogares
2021,2,Neuquén,11.6294336825151,39.0695953109684
2021,2,Río Negro,14.6846674115555,47.7427980620005
2021,2,Salta,13.5695254914538,56.0287550375776
2021,2,San Juan,4.27560851926978,16.7850335193028
2021,2,San Luis,8.88722898503363,31.0536546905374
2021,2,Santa Cruz,11.3240338929575,38.0572404187447
2021,2,Santa Fe,18.9536671101574,60.2771275963968
2021,2,Santiago Del Estero,16.3989479622085,66.077950484181
2021,2,Tierra Del Fuego,23.7721464740445,80.1818250979497
2021,2,Tucumán,6.66375142016097,26.901619909353
2021,1,Buenos Aires,16.5674848978494,49.7818249902129
2021,1,Capital Federal,24.0701637190267,58.2168394069438
2021,1,Catamarca,10.2346298649855,40.2358011216079
2021,1,Chaco,9.75968061896572,36.5167984494689
2021,1,Chubut,11.6859624311864,38.1251531439475
2021,1,Córdoba,28.6720904720105,93.6500075494489
2021,1,Corrientes,10.0335626142819,38.1047524385519
2021,1,Entre Ríos,15.8938326518815,53.1590246710724
2021,1,Formosa,9.94033628638583,39.0566171769553
2021,1,Jujuy,13.7617443829812,53.8167477561875
2021,1,La Pampa,22.223332084738,67.4509869972377
2021,1,La Rioja,4.95664353986225,18.6203437310721
2021,1,Mendoza,5.29907849924739,18.9894086969585
2021,1,Misiones,10.8717076004427,39.9154393914873
2021,1,Neuquén,11.6954872621928,39.2920211912024
2021,1,Río Negro,14.6826191628919,47.7367799139217
2021,1,Salta,14.1982864989374,58.6253989247003
2021,1,San Juan,4.31176054870019,16.9270612422094
2021,1,San Luis,8.89396623715162,31.0777642936035
2021,1,Santa Cruz,11.9011559247533,39.9987342458818
2021,1,Santa Fe,19.3254049418763,61.4596008761256
2021,1,Santiago Del Estero,16.1990549620584,65.2729764559085
2021,1,Tierra Del Fuego,23.8456956460077,80.4339922310033
2021,1,Tucumán,6.47037228090782,26.1212005171953
2020,4,Buenos Aires,16.8846976983171,50.8549912240842
2020,4,Capital Federal,24.6228194899211,59.4844520654422
2020,4,Catamarca,10.097429230688,39.6963696369637
2020,4,Chaco,9.75848733978877,36.5123315472286
2020,4,Chubut,11.7508692491965,38.3370325390511
2020,4,Córdoba,28.415459436127,92.8119612949766
2020,4,Corrientes,9.94445960807883,37.7664028524351
2020,4,Entre Ríos,15.5494217180975,52.0072317079621
2020,4,Formosa,9.81284708269379,38.5557137310729
2020,4,Jujuy,14.1670713060727,55.4019180558852
2020,4,La Pampa,22.1098024823168,67.106329113924
2020,4,La Rioja,5.98868228770444,22.4974601938798
2020,4,Mendoza,5.32806119232574,19.0932708909691
2020,4,Misiones,10.9270545744995,40.1186933301651
2020,4,Neuquén,11.9068127311593,40.00211371803
2020,4,Río Negro,14.8354587356163,48.2336603851944
2020,4,Salta,14.2368621950972,58.7848672219274
2020,4,San Juan,4.30184129767646,16.8881395279026
2020,4,San Luis,8.96202135259177,31.3156526972316
2020,4,Santa Cruz,12.0009094058548,40.3343915728957
2020,4,Santa Fe,19.2993627341546,61.3768201038612
2020,4,Santiago Del Estero,9.39782238503498,37.8678445896341
2020,4,Tierra Del Fuego,24.2236414796044,81.7103692580186
2020,4,Tucumán,6.52467909513019,26.3404318873082
2020,3,Buenos Aires,16.803753974921,50.7306337256727
2020,3,Capital Federal,24.1027339770325,58.1605574429665
2020,3,Catamarca,9.80361993125496,38.5409874793291
2020,3,Chaco,9.94055493115578,37.193406831961
2020,3,Chubut,10.6099321402564,34.6142525255711
2020,3,Córdoba,29.0411473863955,94.8551083424887
2020,3,Corrientes,10.1603010723564,38.5860554506635
2020,3,Entre Ríos,16.9402753353078,56.6588756897424
2020,3,Formosa,9.92892704089294,39.0117549421978
2020,3,Jujuy,14.1486785709661,55.3295996597158
2020,3,La Pampa,22.0780559564474,67.0097077526722
2020,3,La Rioja,4.98955332873545,18.7438085803551
2020,3,Mendoza,5.26645252287734,18.8723943869563
2020,3,Misiones,10.9176567791278,40.0839725708973
2020,3,Neuquén,12.0459893787437,40.4692067306479
2020,3,Río Negro,15.0130008115496,48.8104950701291
2020,3,Salta,14.2807299508382,58.9654653699064
2020,3,San Juan,4.30158089231225,16.8870517888316
2020,3,San Luis,8.99003680981595,31.4132641861486
2020,3,Santa Cruz,12.1394414065053,40.7986381233926
2020,3,Santa Fe,19.4901427965047,61.9833664148876
2020,3,Santiago Del Estero,9.34652968260188,37.66097597079
2020,3,Tierra Del Fuego,24.3499483174457,82.1317889517316
2020,3,Tucumán,6.48483681309524,26.1794544421382
2020,2,Buenos Aires,16.6344276346558,50.3370365165193
