Id_Provincia,Provincia,Fecha,Accesos TV por suscripción (Vrf)
10,Jujuy,2021-03-31,106851
11,La Pampa,2021-03-31,80094
12,La Rioja,2021-03-31,19675
13,Mendoza,2021-03-31,106177
14,Misiones,2021-03-31,138117
15,Neuquén,2021-03-31,78320
16,Río Negro,2021-03-31,110693
17,Salta,2021-03-31,203905
18,San Juan,2021-03-31,33922
19,San Luis,2021-03-31,45583
20,Santa Cruz,2021-03-31,44241
21,Santa Fe,2021-03-31,686902
22,Santiago Del Estero,2021-03-31,159550
23,Tierra Del Fuego,2021-03-31,42034
24,Tucumán,2021-03-31,110506
1,Buenos Aires,2020-12-31,2973620
2,Capital Federal,2020-12-31,757638
3,Catamarca,2020-12-31,42098
4,Chaco,2020-12-31,118021
5,Chubut,2020-12-31,73236
6,Córdoba,2020-12-31,1073026
7,Corrientes,2020-12-31,111852
8,Entre Ríos,2020-12-31,216322
9,Formosa,2020-12-31,59584
10,Jujuy,2020-12-31,109703
11,La Pampa,2020-12-31,79521
12,La Rioja,2020-12-31,23695
13,Mendoza,2020-12-31,106491
14,Misiones,2020-12-31,138446
15,Neuquén,2020-12-31,79485
16,Río Negro,2020-12-31,111495
17,Salta,2020-12-31,203833
18,San Juan,2020-12-31,33755
19,San Luis,2020-12-31,45791
20,Santa Cruz,2020-12-31,44340
21,Santa Fe,2020-12-31,684675
22,Santiago Del Estero,2020-12-31,92329
23,Tierra Del Fuego,2020-12-31,42442
24,Tucumán,2020-12-31,111110
1,Buenos Aires,2020-09-30,2952288
2,Capital Federal,2020-09-30,741443
3,Catamarca,2020-09-30,40786
4,Chaco,2020-09-30,119932
5,Chubut,2020-09-30,65855
6,Córdoba,2020-09-30,1093908
7,Corrientes,2020-09-30,114038
8,Entre Ríos,2020-09-30,235140
9,Formosa,2020-09-30,60169
10,Jujuy,2020-09-30,109266
11,La Pampa,2020-09-30,79243
12,La Rioja,2020-09-30,19678
13,Mendoza,2020-09-30,104996
14,Misiones,2020-09-30,137953
15,Neuquén,2020-09-30,80161
16,Río Negro,2020-09-30,112475
17,Salta,2020-09-30,203833
18,San Juan,2020-09-30,33664
19,San Luis,2020-09-30,45793
20,Santa Cruz,2020-09-30,44577
21,Santa Fe,2020-09-30,690129
22,Santiago Del Estero,2020-09-30,91593
23,Tierra Del Fuego,2020-09-30,42403
24,Tucumán,2020-09-30,110110
1,Buenos Aires,2020-06-30,2915498
2,Capital Federal,2020-06-30,738178
3,Catamarca,2020-06-30,40214
4,Chaco,2020-06-30,117601
5,Chubut,2020-06-30,64113
6,Córdoba,2020-06-30,1098162
7,Corrientes,2020-06-30,111516
8,Entre Ríos,2020-06-30,218562
9,Formosa,2020-06-30,59290
10,Jujuy,2020-06-30,97761
11,La Pampa,2020-06-30,80878
12,La Rioja,2020-06-30,19297
13,Mendoza,2020-06-30,102654
14,Misiones,2020-06-30,142174
15,Neuquén,2020-06-30,79434
16,Río Negro,2020-06-30,111595
17,Salta,2020-06-30,202609
18,San Juan,2020-06-30,33129
19,San Luis,2020-06-30,45905
20,Santa Cruz,2020-06-30,43719
21,Santa Fe,2020-06-30,672663
22,Santiago Del Estero,2020-06-30,90102
23,Tierra Del Fuego,2020-06-30,41920
24,Tucumán,2020-06-30,97161
1,Buenos Aires,2020-03-31,2955174
2,Capital Federal,2020-03-31,741539
3,Catamarca,2020-03-31,39338
4,Chaco,2020-03-31,114564
5,Chubut,2020-03-31,67422
6,Córdoba,2020-03-31,1062830
7,Corrientes,2020-03-31,110100
8,Entre Ríos,2020-03-31,220527
9,Formosa,2020-03-31,59239
10,Jujuy,2020-03-31,97650
11,La Pampa,2020-03-31,79897
12,La Rioja,2020-03-31,18853
13,Mendoza,2020-03-31,103132
14,Misiones,2020-03-31,143352
15,Neuquén,2020-03-31,78339
16,Río Negro,2020-03-31,109833
17,Salta,2020-03-31,187051
18,San Juan,2020-03-31,30303
19,San Luis,2020-03-31,47659
20,Santa Cruz,2020-03-31,43321
21,Santa Fe,2020-03-31,670943
22,Santiago Del Estero,2020-03-31,88946
23,Tierra Del Fuego,2020-03-31,41493
24,Tucumán,2020-03-31,110406
1,Buenos Aires,2019-12-31,2824205
2,Capital Federal,2019-12-31,896441
3,Catamarca,2019-12-31,41031
4,Chaco,2019-12-31,114313
5,Chubut,2019-12-31,69894
6,Córdoba,2019-12-31,1113585
7,Corrientes,2019-12-31,109763
8,Entre Ríos,2019-12-31,220415
9,Formosa,2019-12-31,59153
10,Jujuy,2019-12-31,95103
11,La Pampa,2019-12-31,81047
12,La Rioja,2019-12-31,18979
13,Mendoza,2019-12-31,102375
14,Misiones,2019-12-31,144435
15,Neuquén,2019-12-31,76801
16,Río Negro,2019-12-31,110594
17,Salta,2019-12-31,189127
18,San Juan,2019-12-31,29520
19,San Luis,2019-12-31,48422
20,Santa Cruz,2019-12-31,47954
21,Santa Fe,2019-12-31,658150
22,Santiago Del Estero,2019-12-31,89885
23,Tierra Del Fuego,2019-12-31,41577
24,Tucumán,2019-12-31,113416
1,Buenos Aires,2019-09-30,2737691
2,Capital Federal,2019-09-30,862488
3,Catamarca,2019-09-30,40830
4,Chaco,2019-09-30,111542
5,Chubut,2019-09-30,70308
6,Córdoba,2019-09-30,1104134
7,Corrientes,2019-09-30,109035
8,Entre Ríos,2019-09-30,216331
9,Formosa,2019-09-30,59066
10,Jujuy,2019-09-30,91428
11,La Pampa,2019-09-30,82596
12,La Rioja,2019-09-30,20088
13,Mendoza,2019-09-30,103899
14,Misiones,2019-09-30,143508
15,Neuquén,2019-09-30,77398
16,Río Negro,2019-09-30,111471
17,Salta,2019-09-30,188437
18,San Juan,2019-09-30,30778
19,San Luis,2019-09-30,49555
20,Santa Cruz,2019-09-30,48075
21,Santa Fe,2019-09-30,655582
22,Santiago Del Estero,2019-09-30,89673
23,Tierra Del Fuego,2019-09-30,42866
24,Tucumán,2019-09-30,109911
1,Buenos Aires,2019-06-30,2687146
2,Capital Federal,2019-06-30,810521
3,Catamarca,2019-06-30,33085
4,Chaco,2019-06-30,108529
5,Chubut,2019-06-30,87680
6,Córdoba,2019-06-30,1063751
7,Corrientes,2019-06-30,108390
8,Entre Ríos,2019-06-30,211624
9,Formosa,2019-06-30,61107
10,Jujuy,2019-06-30,88550
11,La Pampa,2019-06-30,83122
12,La Rioja,2019-06-30,25887
13,Mendoza,2019-06-30,139687
14,Misiones,2019-06-30,141493
15,Neuquén,2019-06-30,79179
16,Río Negro,2019-06-30,108723
17,Salta,2019-06-30,185491
18,San Juan,2019-06-30,43355
19,San Luis,2019-06-30,53561
20,Santa Cruz,2019-06-30,52539
21,Santa Fe,2019-06-30,603033
22,Santiago Del Estero,2019-06-30,108956
23,Tierra Del Fuego,2019-06-30,45811
24,Tucumán,2019-06-30,117489
1,Buenos Aires,2019-03-31,2687325
2,Capital Federal,2019-03-31,789185
3,Catamarca,2019-03-31,33116
4,Chaco,2019-03-31,107090
5,Chubut,2019-03-31,90677
6,Córdoba,2019-03-31,1057252
7,Corrientes,2019-03-31,101354
8,Entre Ríos,2019-03-31,210247
9,Formosa,2019-03-31,56736
10,Jujuy,2019-03-31,87894
11,La Pampa,2019-03-31,81351
12,La Rioja,2019-03-31,25931
13,Mendoza,2019-03-31,140501
14,Misiones,2019-03-31,137541
15,Neuquén,2019-03-31,80031
16,Río Negro,2019-03-31,90118
17,Salta,2019-03-31,174728
18,San Juan,2019-03-31,44083
19,San Luis,2019-03-31,53561
20,Santa Cruz,2019-03-31,56833
21,Santa Fe,2019-03-31,599988
22,Santiago Del Estero,2019-03-31,109220
23,Tierra Del Fuego,2019-03-31,45852
24,Tucumán,2019-03-31,118638
1,Buenos Aires,2018-12-31,2670842
2,Capital Federal,2018-12-31,750996
3,Catamarca,2018-12-31,33545
4,Chaco,2018-12-31,99927
5,Chubut,2018-12-31,90602
6,Córdoba,2018-12-31,1056763
7,Corrientes,2018-12-31,102243
8,Entre Ríos,2018-12-31,208263
9,Formosa,2018-12-31,58868
10,Jujuy,2018-12-31,98704
11,La Pampa,2018-12-31,81403
12,La Rioja,2018-12-31,24839
13,Mendoza,2018-12-31,117382
14,Misiones,2018-12-31,137821
