Id_Provincia,Provincia,Id_Partido,Partido,Id_Localidad,Localidad,ADSL,Cablemódem,Dial Up,Fibra óptica,Satelital,Wireless,Telefonía Fija,3G,4G,Link,Latitud,Longitud
1,BUENOS AIRES,328,Escobar,2597,Loma Verde,None,None,None,SI,None,None,None,SI,SI,6252010.0,-34.3285234890863,-58.8506997728362
1,BUENOS AIRES,328,Escobar,2598,Maquinista F. Savio (este),SI,SI,None,SI,None,SI,SI,SI,SI,6252010.0,-34.3964888336318,-58.7629458829717
1,BUENOS AIRES,304,Necochea,2599,Necochea - Quequén,SI,SI,SI,SI,SI,SI,SI,SI,SI,6581040.0,-38.5711702285697,-58.7702419838751
1,BUENOS AIRES,304,Necochea,2600,Nicanor Olivera (Est. La Dulce),SI,None,SI,None,None,SI,SI,SI,None,6581050.0,-38.2846361959919,-59.202754253612
1,BUENOS AIRES,304,Necochea,2601,Ramón Santamarina,None,None,None,None,None,None,SI,SI,None,6581060.0,-38.4503897333336,-59.3311154416146
1,BUENOS AIRES,329,Olavarría,2602,Blancagrande,None,None,None,None,None,None,None,None,None,6595010.0,-36.5328887082639,-60.8824549132602
1,BUENOS AIRES,329,Olavarría,2603,Colonia Hinojo,None,None,None,None,None,None,None,SI,SI,6595070.0,-36.8800694499223,-60.1780552970612
1,BUENOS AIRES,329,Olavarría,2604,Colonia Nievas,None,None,None,None,None,None,None,None,None,6595030.0,-36.8641370257955,-60.0816424704
1,BUENOS AIRES,329,Olavarría,2605,Colonia San Miguel,None,None,None,None,None,None,None,None,None,6595040.0,-36.9495659791886,-60.1108954083182
1,BUENOS AIRES,329,Olavarría,2606,Espigas,None,None,None,None,None,None,SI,None,None,6595050.0,-36.4122732396335,-60.6730694647
1,BUENOS AIRES,329,Olavarría,2607,Hinojo,SI,None,None,SI,SI,SI,SI,SI,SI,6595060.0,-36.8805120719062,-60.1771940245473
1,BUENOS AIRES,329,Olavarría,2608,Olavarría,SI,SI,SI,SI,SI,None,SI,SI,SI,6595070.0,-36.8920935788859,-60.3180046559577
1,BUENOS AIRES,329,Olavarría,2609,Recalde,None,None,None,None,None,None,SI,None,None,6595080.0,-36.6515016172821,-61.0845040269815
1,BUENOS AIRES,329,Olavarría,2610,Santa Luisa,None,None,None,None,None,None,None,SI,None,6595090.0,-37.1256790161133,-60.4158706665039
1,BUENOS AIRES,329,Olavarría,2611,Sierra Chica,None,SI,None,None,None,None,None,SI,SI,6595100.0,-36.843238222524,-60.2234271381196
1,BUENOS AIRES,329,Olavarría,2612,Sierras Bayas,SI,None,SI,None,None,None,SI,None,None,6595110.0,-36.9225238148372,-60.2157925414657
