Id_Provincia,Provincia,Fecha,Accesos por cada 100 hab
20,Santa Cruz,2021-06-30,13.096756425785
21,Santa Fe,2021-06-30,23.6047874530137
22,Santiago Del Estero,2021-06-30,11.5543888752169
23,Tierra Del Fuego,2021-06-30,20.1266479457771
24,Tucumán,2021-06-30,13.606163819728
1,Buenos Aires,2021-03-31,22.998353975762
2,Capital Federal,2021-03-31,44.8269901646418
3,Catamarca,2021-03-31,12.4382789182565
4,Chaco,2021-03-31,11.5288964774878
5,Chubut,2021-03-31,21.1478383150763
6,Córdoba,2021-03-31,24.0613716456615
7,Corrientes,2021-03-31,11.2341158695361
8,Entre Ríos,2021-03-31,18.0705817215044
9,Formosa,2021-03-31,8.33089528442991
10,Jujuy,2021-03-31,14.2260459665007
11,La Pampa,2021-03-31,26.943299898725
12,La Rioja,2021-03-31,13.2583601634496
13,Mendoza,2021-03-31,10.9260024514795
14,Misiones,2021-03-31,11.7588116112233
15,Neuquén,2021-03-31,19.895917331183
16,Río Negro,2021-03-31,18.7249056578747
17,Salta,2021-03-31,13.0611284262362
18,San Juan,2021-03-31,9.94836869480331
19,San Luis,2021-03-31,23.248835158317
20,Santa Cruz,2021-03-31,12.3918254034438
21,Santa Fe,2021-03-31,23.2423821861305
22,Santiago Del Estero,2021-03-31,11.3348711690326
23,Tierra Del Fuego,2021-03-31,22.9312154304354
24,Tucumán,2021-03-31,13.5789638246782
1,Buenos Aires,2020-12-31,22.9015115325469
2,Capital Federal,2020-12-31,44.8339684267828
3,Catamarca,2020-12-31,12.5674593085451
4,Chaco,2020-12-31,11.5006461780409
5,Chubut,2020-12-31,20.9508711746216
6,Córdoba,2020-12-31,23.904978675681
7,Corrientes,2020-12-31,11.1720027347886
8,Entre Ríos,2020-12-31,17.7819708307277
9,Formosa,2020-12-31,8.26839085381519
10,Jujuy,2020-12-31,13.6696231171354
11,La Pampa,2020-12-31,26.9404221718048
12,La Rioja,2020-12-31,13.3391295117309
13,Mendoza,2020-12-31,10.7797538577923
14,Misiones,2020-12-31,11.6148987925828
15,Neuquén,2020-12-31,19.9435555508951
16,Río Negro,2020-12-31,18.7893190551718
17,Salta,2020-12-31,13.0883890574111
18,San Juan,2020-12-31,9.25185812016353
19,San Luis,2020-12-31,23.3753143684741
20,Santa Cruz,2020-12-31,11.0086826606617
21,Santa Fe,2020-12-31,23.1367697431769
22,Santiago Del Estero,2020-12-31,10.8574371648052
23,Tierra Del Fuego,2020-12-31,22.6095691431376
24,Tucumán,2020-12-31,13.5701698084289
1,Buenos Aires,2020-09-30,22.4100880534403
2,Capital Federal,2020-09-30,44.6227428971926
3,Catamarca,2020-09-30,11.9952888012884
4,Chaco,2020-09-30,11.1027673619054
5,Chubut,2020-09-30,20.9487153048533
6,Córdoba,2020-09-30,23.0297083535099
7,Corrientes,2020-09-30,10.9936136166816
8,Entre Ríos,2020-09-30,17.3981108790514
9,Formosa,2020-09-30,8.12033722939222
10,Jujuy,2020-09-30,13.8200370336799
11,La Pampa,2020-09-30,26.115702018823
12,La Rioja,2020-09-30,13.3413120207716
13,Mendoza,2020-09-30,10.4223554880532
14,Misiones,2020-09-30,11.3317985370104
15,Neuquén,2020-09-30,19.4204592926977
16,Río Negro,2020-09-30,17.54802558517
