Id_Provincia,Provincia,Fecha,Accesos por cada 100 hogares
13,Mendoza,2020-12-31,38.6295789622782
14,Misiones,2020-12-31,42.6441141611923
15,Neuquén,2020-12-31,67.0023452204809
16,Río Negro,2020-12-31,61.0886154804548
17,Salta,2020-12-31,54.0427520014766
18,San Juan,2020-12-31,36.3208821557581
19,San Luis,2020-12-31,81.679478061057
20,Santa Cruz,2020-12-31,36.999572459088
21,Santa Fe,2020-12-31,73.5807380726778
22,Santiago Del Estero,2020-12-31,43.7492566206899
23,Tierra Del Fuego,2020-12-31,76.265834969774
24,Tucumán,2020-12-31,54.7834044136996
1,Buenos Aires,2020-09-30,67.6561898309092
2,Capital Federal,2020-09-30,107.675901165732
3,Catamarca,2020-09-30,47.157098984172
4,Chaco,2020-09-30,41.5419205780652
5,Chubut,2020-09-30,68.3438981572004
6,Córdoba,2020-09-30,75.2203572366921
7,Corrientes,2020-09-30,41.7507494704644
8,Entre Ríos,2020-09-30,58.1901640924315
9,Formosa,2020-09-30,31.9056233101865
10,Jujuy,2020-09-30,54.0444192382091
11,La Pampa,2020-09-30,79.2644770667028
12,La Rioja,2020-09-30,50.1181132363027
13,Mendoza,2020-09-30,37.3486331372327
14,Misiones,2020-09-30,41.6044862854486
15,Neuquén,2020-09-30,65.2441702553022
16,Río Negro,2020-09-30,57.052405915845
17,Salta,2020-09-30,52.315712128488
18,San Juan,2020-09-30,38.7899552541285
19,San Luis,2020-09-30,79.9617220941719
20,Santa Cruz,2020-09-30,35.9515289078445
21,Santa Fe,2020-09-30,72.1206024734824
22,Santiago Del Estero,2020-09-30,43.3759313169191
23,Tierra Del Fuego,2020-09-30,76.809095839467
24,Tucumán,2020-09-30,53.2281495112899
1,Buenos Aires,2020-06-30,65.2205801358229
2,Capital Federal,2020-06-30,106.414805990736
3,Catamarca,2020-06-30,45.4318181818182
4,Chaco,2020-06-30,39.8325027900658
5,Chubut,2020-06-30,57.3446133872355
6,Córdoba,2020-06-30,72.7135853124239
7,Corrientes,2020-06-30,40.3047626797957
8,Entre Ríos,2020-06-30,56.5386547397096
9,Formosa,2020-06-30,31.1394362262631
10,Jujuy,2020-06-30,47.8878102278728
11,La Pampa,2020-06-30,76.1015828898756
12,La Rioja,2020-06-30,49.8399350183955
13,Mendoza,2020-06-30,36.2522434211
14,Misiones,2020-06-30,40.8877960096961
15,Neuquén,2020-06-30,63.8984690337643
16,Río Negro,2020-06-30,56.369335248792
17,Salta,2020-06-30,51.5815833534036
18,San Juan,2020-06-30,35.0948577636503
19,San Luis,2020-06-30,78.4096773527651
20,Santa Cruz,2020-06-30,35.792623969796
21,Santa Fe,2020-06-30,70.002168637187
22,Santiago Del Estero,2020-06-30,43.4671668246836
23,Tierra Del Fuego,2020-06-30,76.3694826074247
24,Tucumán,2020-06-30,51.7807409103048
1,Buenos Aires,2020-03-31,64.3256310174343
2,Capital Federal,2020-03-31,105.980174141819
3,Catamarca,2020-03-31,37.6154276874603
4,Chaco,2020-03-31,37.4838333691726
5,Chubut,2020-03-31,51.268489419097
6,Córdoba,2020-03-31,70.6880744339108
7,Corrientes,2020-03-31,38.7290799422309
8,Entre Ríos,2020-03-31,56.1200605143722
9,Formosa,2020-03-31,30.2283039626068
10,Jujuy,2020-03-31,46.6702306399878
11,La Pampa,2020-03-31,75.766787812914
12,La Rioja,2020-03-31,46.346631384167
13,Mendoza,2020-03-31,33.1420767001727
14,Misiones,2020-03-31,39.018347551712
15,Neuquén,2020-03-31,61.8474936235507
16,Río Negro,2020-03-31,55.1156686596236
17,Salta,2020-03-31,49.5956802701287
18,San Juan,2020-03-31,32.3922921363047
19,San Luis,2020-03-31,76.3085418464193
20,Santa Cruz,2020-03-31,35.9742762889655
21,Santa Fe,2020-03-31,69.5235794025313
22,Santiago Del Estero,2020-03-31,42.4663591879918
23,Tierra Del Fuego,2020-03-31,76.0696497901879
24,Tucumán,2020-03-31,47.8479232585003
1,Buenos Aires,2019-12-31,64.2520528824542
2,Capital Federal,2019-12-31,106.245467510411
3,Catamarca,2019-12-31,36.4384291271555
4,Chaco,2019-12-31,36.8354786303424
5,Chubut,2019-12-31,51.1450178551471
6,Córdoba,2019-12-31,70.4829556624422
7,Corrientes,2019-12-31,38.7674409892621
8,Entre Ríos,2019-12-31,57.9922169170451
9,Formosa,2019-12-31,30.471313480544
10,Jujuy,2019-12-31,45.3775463317507
11,La Pampa,2019-12-31,76.9241896917042
12,La Rioja,2019-12-31,47.1358901105243
13,Mendoza,2019-12-31,33.6490307202718
14,Misiones,2019-12-31,39.7892368404862
15,Neuquén,2019-12-31,59.3559009282245
16,Río Negro,2019-12-31,55.7050096828749
17,Salta,2019-12-31,50.3546389223882
18,San Juan,2019-12-31,32.8549757281553
19,San Luis,2019-12-31,74.9200260348146
20,Santa Cruz,2019-12-31,36.7113630853583
21,Santa Fe,2019-12-31,69.4823572559686
22,Santiago Del Estero,2019-12-31,42.9207738235818
23,Tierra Del Fuego,2019-12-31,79.6953613637709
24,Tucumán,2019-12-31,47.6490201252129
1,Buenos Aires,2019-09-30,69.3563010607913
2,Capital Federal,2019-09-30,112.645387803721
3,Catamarca,2019-09-30,30.8836145267372
4,Chaco,2019-09-30,35.8460309754608
5,Chubut,2019-09-30,47.5662416229331
6,Córdoba,2019-09-30,68.5923490106902
7,Corrientes,2019-09-30,38.4853511358672
8,Entre Ríos,2019-09-30,57.9000994579662
9,Formosa,2019-09-30,30.1124329977775
10,Jujuy,2019-09-30,44.3224868429136
11,La Pampa,2019-09-30,77.4526942329175
12,La Rioja,2019-09-30,47.9429051217464
13,Mendoza,2019-09-30,40.7371425873534
14,Misiones,2019-09-30,39.3329298674438
15,Neuquén,2019-09-30,64.1388726949158
16,Río Negro,2019-09-30,63.4247008870096
17,Salta,2019-09-30,44.4761779222872
18,San Juan,2019-09-30,37.0623130355423
19,San Luis,2019-09-30,85.2260887684934
20,Santa Cruz,2019-09-30,35.6281609788596
21,Santa Fe,2019-09-30,68.8717805759303
22,Santiago Del Estero,2019-09-30,55.3039114685454
23,Tierra Del Fuego,2019-09-30,96.4621096309238
24,Tucumán,2019-09-30,39.4876002040168
1,Buenos Aires,2019-06-30,67.847139823742
2,Capital Federal,2019-06-30,110.545566994852
3,Catamarca,2019-06-30,32.1309502201928
4,Chaco,2019-06-30,34.1402609798676
5,Chubut,2019-06-30,46.9879841362692
6,Córdoba,2019-06-30,68.0713093878985
7,Corrientes,2019-06-30,38.155585884188
8,Entre Ríos,2019-06-30,57.4782345887239
9,Formosa,2019-06-30,30.4182360069433
10,Jujuy,2019-06-30,44.511922790626
11,La Pampa,2019-06-30,77.083137502884
12,La Rioja,2019-06-30,48.7049391442432
13,Mendoza,2019-06-30,40.7546242353627
14,Misiones,2019-06-30,39.1461255416994
15,Neuquén,2019-06-30,63.0809643276744
16,Río Negro,2019-06-30,61.0942074999118
17,Salta,2019-06-30,41.8931983203698
18,San Juan,2019-06-30,35.5997173374818
19,San Luis,2019-06-30,81.789994425864
20,Santa Cruz,2019-06-30,28.8460630553221
21,Santa Fe,2019-06-30,67.4229199332195
22,Santiago Del Estero,2019-06-30,52.789971263171
23,Tierra Del Fuego,2019-06-30,94.7980342802349
